,y,predictions
110,1705,1604.1054385336658
111,1710,1604.1054385336658
112,1687,1604.1054385336658
113,1691,1604.1054385336658
114,1914,1803.89091473031
115,1073,1061.4428054494197
116,1030,960.453625030151
117,807,835.7312482141517
118,933,898.2233896518313
119,832,894.6937185907195
120,1247,1102.7479851642452
121,1239,1156.0931142641584
122,1537,1542.9351218606987
123,1283,1243.2124163555463
124,1491,1496.4788420582297
125,1588,1585.1535655364805
126,1449,1444.4371013676914
127,1431,1359.6305622486173
128,1491,1510.7046935450842
129,1535,1504.9063099472671
130,1476,1517.6627538624641
131,1574,1633.7684110811113
132,1064,1068.1465648044061
133,1254,1237.2153491417855
134,1284,1238.5560681825111
135,1442,1528.0131845819685
136,1589,1617.8658917976752
137,1883,1861.3380595507845
138,983,908.0112786979785
139,881,916.129015734922
140,1077,1036.611290714462
141,886,928.5433070010581
142,956,972.9531749935254
143,868,876.3578546207077
144,975,967.5556621472747
145,931,909.1709554175418
146,1935,1919.6144449928404
147,1797,1802.611200171991
148,1955,1923.0934751515304
149,777,817.6309952419148
150,985,938.1132702214545
151,855,874.4551545005183
152,1015,1048.9393647596426
153,850,865.1777407440118
154,837,866.3374174635751
155,842,866.3374174635751
156,993,1036.5367900445858
157,827,810.6729349245346
158,770,808.353581485408
159,986,1036.5367900445858
160,1550,1585.5687006090266
161,1166,1252.0197483405516
162,1554,1592.526760926407
163,1177,1258.9778086579315
164,1445,1505.38859357953
165,1501,1500.3747267067504
166,1648,1605.3375394391185
167,1449,1472.02529894737
168,1448,1475.5043291060604
169,1273,1199.3788699963138
170,1148,1090.412969795973
171,1271,1274.5288066269568
172,616,624.9315084850916
173,1378,1403.3326482133054
174,858,892.4692248395477
175,1092,989.8001615720145
176,1939,2021.1460423902793
177,826,787.0876446990358
178,1155,1126.9640750520766
179,1583,1557.2685117551061
180,1158,1158.543021890148
181,1024,1059.974089589732
182,1086,1111.7511564747542
183,1242,1296.0716811165878
184,1318,1413.056618919546
185,2105,2111.9717791006024
186,1404,1465.737191310753
187,1115,1155.5255384444213
188,1114,1155.5255384444213
189,1145,1149.4280625130764
190,1117,1151.0678738873303
191,1107,1151.0678738873303
192,1153,1219.3912802868194
193,1163,1189.411334547123
194,1137,1139.6528551344727
195,1281,1367.3980912785232
196,866,827.2754591321867
197,1247,1284.7405585399133
198,1002,991.2968753339628
199,1074,1090.7592447048619
200,1178,1198.0533445184537
201,1309,1347.038738674869
202,1376,1340.0994697049657
203,1909,1938.0268616329151
204,907,953.0466567028388
205,2079,2123.153193794172
206,2112,2131.270930831115
207,1110,1150.0426976888539
208,2081,2127.791900672425
209,1173,1228.408770875568
210,1709,1741.0308206468999
211,721,723.4295289780994
212,964,914.2105330473614
213,1161,1072.3200350679513
214,989,1051.6726063182869
215,983,1020.1928892812348
216,1097,1178.059061732799
217,1494,1445.4420816168235
218,1182,1170.532913703558
219,1165,1197.209372855659
220,1220,1102.7479851642452
221,1216,1156.0931142641584
222,1140,1224.3899368633483
223,1344,1327.4521635647332
224,1187,1105.0073196839942
225,1126,1101.5282895253042
226,1084,1113.1250567209377
227,1269,1233.607331700477
228,1090,1125.5393479870736
229,1157,1169.9492159795411
230,1073,1073.3538956067234
231,1125,1106.1669964035575
232,1294,1338.9889118409887
233,1107,1023.401603831936
234,2159,2120.0895161375456
235,2060,2056.43140041661
236,982,1014.6270362279297
237,1057,1071.4511954865334
238,984,1043.2088913648895
239,1194,1240.4908913479815
240,966,991.0234389845391
241,1054,1062.1737817300268
242,966,1037.4105077670724
243,956,988.7040855454125
244,1091,1217.7061189919662
245,1036,1007.6689759105498
246,2113,2116.6104859788556
247,1696,1704.113179678983
248,1854,1824.5954546585226
249,1681,1664.342018564769
250,675,719.1329747489069
251,754,775.9571340075104
252,666,741.9164462880498
253,979,1165.741413474038
254,1282,1219.0367119034117
255,1252,1167.2736916057736
256,999,1066.181829918059
257,1021,1068.5011833571857
258,957,930.298362755582
259,1098,1083.1272813582261
260,1465,1532.0727802386536
261,1088,1104.0014623103662
262,2099,2069.2399719674986
263,935,1008.072483070328
264,973,1008.4003709766685
265,1085,1012.7750182882414
266,1140,1089.8767313658618
267,1317,1132.1124417970004
268,1233,1137.0659612293928
269,1223,1136.2210970639685
270,968,1033.677753477589
271,1271,1305.2299002741017
272,1416,1327.4259986896775
273,1453,1476.5842390094974
274,903,982.9461130322093
275,1490,1504.2129362231592
276,1481,1505.506383175699
277,1728,1571.5665801828297
278,1670,1573.8859336219564
279,979,963.5333768352102
280,1165,1161.7806622872884
281,1011,1064.780763436946
282,1079,1055.9992045557406
283,1333,1336.7396165155233
284,1595,1605.6151591859757
285,1753,1726.0974341655153
286,1663,1662.4393184445794
287,926,1029.849714028776
288,1272,1217.9757911328734
289,1343,1393.5224995443723
290,922,855.1385906985256
291,1659,1627.599413672508
292,1479,1467.3459775787535
293,1152,1108.3060575301874
294,1286,1310.1210977069527
295,1458,1430.603372686492
296,1276,1270.3499365927387
297,1341,1303.1630373895728
298,1483,1509.4132465802734
299,1358,1222.6131435725142
300,1113,1075.1931050647627
301,946,1023.198569223797
302,1184,1086.4580486475593
303,1489,1460.0748134082821
304,1370,1449.9834550951784
305,1483,1511.601859119315
