,y,predictions
0,2033,1952.6944687727284
1,633,525.6342709394735
2,684,662.1900012851966
3,1042,1015.0595759667658
4,884,906.6819785209628
5,1459,1459.885725055539
6,1116,1020.1928892812348
7,1265,1200.61408771913
8,1250,1142.5853687376502
9,1471,1515.0074664854158
10,1439,1459.885725055539
11,1072,1073.6176451352908
12,1048,1027.230576352757
13,937,948.750128944776
14,1016,1044.857949612636
15,1734,1718.6292903529145
16,1837,1858.9733836229416
17,1336,1367.0783687603773
18,1490,1472.7118327571036
19,1500,1505.394118790988
20,1668,1605.3430646505756
21,1659,1609.6224431812673
22,1153,1090.412969795973
23,1270,1274.5288066269568
24,1382,1444.4576412839358
25,1501,1527.2890152973193
26,1653,1617.1417225130256
27,722,738.4374161293597
28,643,682.7729335903196
29,566,605.3658420265929
30,828,808.166857077238
31,652,677.4591135145025
32,751,711.832761782466
33,1655,1543.2519195846319
34,1527,1528.6770064262307
35,1640,1629.2686527462986
36,947,1013.4092085288275
37,1136,1103.7942699150235
38,1107,1097.5024388461604
39,1125,1049.598986912868
40,1007,1018.0901581746457
41,1593,1604.4345632956758
42,1283,1217.9757911328734
43,1354,1393.5224995443723
44,1218,1133.767973391865
45,1560,1591.3050834219678
46,1411,1457.5142191974485
47,1597,1557.819833740017
48,1710,1493.7105746543823
49,1470,1486.5393312110584
50,1237,1198.2378062046018
51,1104,1087.3318198121497
52,1022,1073.0675825622116
53,1178,1144.9275799622856
54,1239,1144.9275799622856
55,1134,1110.8657222011884
56,1212,1167.689881459792
57,1336,1337.889254040803
58,1376,1449.9834550951784
59,1052,988.8890419518589
60,1163,1126.8684378270918
61,1352,1433.0071988410866
62,1384,1435.3265522802133
63,1505,1499.3871214021117
64,1503,1503.242732320822
65,1196,1105.0485137630017
66,1270,1225.787579195226
67,1165,1153.9329991583531
68,1012,1069.58743728416
69,1032,1077.0913808597902
70,1015,1069.58743728416
71,1399,1466.9231301610737
72,1291,1203.5053401770015
73,1273,1203.5053401770015
74,1186,1211.6230772139452
75,1259,1268.4472364725484
76,1239,1204.6650168965648
77,1392,1437.4869323339965
78,1561,1646.6947676628204
79,1182,1185.1347123111943
80,1596,1589.3931057294901
81,1138,1073.48754508695
82,1407,1369.458656404891
83,948,1034.0649653482265
84,1564,1529.1013931795
85,1460,1465.443277458564
86,1444,1401.6610578825803
87,1388,1437.2024789550844
88,1521,1479.0181504294796
89,1536,1527.0551861707906
90,1362,1263.2184988168297
91,598,649.5027683899352
92,1151,1198.705222329905
93,1380,1455.973849643947
94,1578,1652.969890629962
95,1978,2046.961972601993
96,983,1061.9817676719158
97,836,907.2041703616828
98,2151,2230.9286280436863
99,1181,1258.9778086579315
100,1778,1849.9659316159775
101,689,869.082398969801
102,1641,1592.9059667193026
103,1634,1595.3590903914057
104,1340,1333.2234728201383
105,1485,1516.1717265536704
106,1449,1463.566506672489
107,1496,1465.8858601116156
108,1481,1465.8858601116156
109,1444,1463.566506672489
